timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-12-31 15:45:00,2981.37,2989.37,2979.49,2985.76,2361.8807,2025-12-31 15:59:59.999,7050363.49981200,49538,1322.42820000,3948078.54101400,0
2025-12-31 16:00:00,2985.76,2988.5,2980.0,2985.49,2578.038,2025-12-31 16:14:59.999,7694595.98010900,54600,1213.50410000,3622437.93599900,0
2025-12-31 16:15:00,2985.49,2997.4,2981.84,2987.5,4991.7585,2025-12-31 16:29:59.999,14925630.92441000,75149,3119.59820000,9330617.04606100,0
2025-12-31 16:30:00,2987.5,2987.5,2958.91,2966.7,9055.3929,2025-12-31 16:44:59.999,26889725.82640100,92494,4133.52500000,12274586.34475500,0
2025-12-31 16:45:00,2966.7,2977.86,2964.21,2976.03,3369.0693,2025-12-31 16:59:59.999,10011637.55753300,74084,1811.58600000,5383785.44365000,0
2025-12-31 17:00:00,2976.03,2976.21,2968.68,2970.64,2076.3677,2025-12-31 17:14:59.999,6170314.55988000,50818,1094.30330000,3251843.65590200,0
2025-12-31 17:15:00,2970.64,2980.42,2968.0,2975.4,2041.5217,2025-12-31 17:29:59.999,6075519.49162400,48091,1161.96560000,3458173.01560900,0
2025-12-31 17:30:00,2975.41,2978.0,2971.7,2975.1,1759.4686,2025-12-31 17:44:59.999,5234345.82929500,35192,987.49870000,2937683.64485600,0
2025-12-31 17:45:00,2975.1,2979.93,2972.89,2975.77,1494.5038,2025-12-31 17:59:59.999,4447422.19578900,35254,954.89400000,2841602.78252100,0
2025-12-31 18:00:00,2975.77,2985.69,2972.99,2982.19,2147.6372,2025-12-31 18:14:59.999,6401229.92525900,41717,1250.67150000,3727725.12218900,0
2025-12-31 18:15:00,2982.19,2985.36,2980.89,2981.9,1334.4968,2025-12-31 18:29:59.999,3981043.73660600,31433,683.30240000,2038314.67169900,0
2025-12-31 18:30:00,2981.91,2981.91,2976.84,2979.28,1419.8987,2025-12-31 18:44:59.999,4230421.18062800,17006,697.80070000,2078746.14538800,0
2025-12-31 18:45:00,2979.28,2980.19,2971.42,2974.33,1663.3672,2025-12-31 18:59:59.999,4947689.62740700,26269,1067.81980000,3175973.72488400,0
2025-12-31 19:00:00,2974.32,2981.44,2974.32,2978.56,1513.2748,2025-12-31 19:14:59.999,4506996.54890100,28266,892.91360000,2658847.46859700,0
2025-12-31 19:15:00,2978.55,2978.56,2973.05,2976.84,988.1529,2025-12-31 19:29:59.999,2941046.99119300,28765,608.48090000,1810892.76624000,0
2025-12-31 19:30:00,2976.85,2977.32,2971.85,2973.4,1215.8756,2025-12-31 19:44:59.999,3617128.10350800,25811,719.85930000,2141419.44527600,0
2025-12-31 19:45:00,2973.4,2974.8,2970.27,2971.15,1186.6919,2025-12-31 19:59:59.999,3527859.62479400,20780,574.98070000,1709345.20105000,0
2025-12-31 20:00:00,2971.16,2973.24,2966.17,2970.49,2865.6598,2025-12-31 20:14:59.999,8510487.18262100,51207,1587.65640000,4714798.23706300,0
2025-12-31 20:15:00,2970.5,2972.86,2967.59,2971.65,2600.5819,2025-12-31 20:29:59.999,7725124.55672400,30544,1496.94200000,4446223.08532900,0
2025-12-31 20:30:00,2971.64,2976.16,2963.43,2966.3,3452.228,2025-12-31 20:44:59.999,10244219.02787200,52152,1355.59430000,4023597.91682400,0
2025-12-31 20:45:00,2966.3,2979.89,2963.51,2975.67,3881.4874,2025-12-31 20:59:59.999,11541963.05023800,48657,2617.90700000,7784265.24451900,0
2025-12-31 21:00:00,2975.67,2982.53,2973.84,2978.08,1685.742,2025-12-31 21:14:59.999,5019456.99657400,36055,719.40680000,2142763.04970400,0
2025-12-31 21:15:00,2978.08,2980.92,2976.89,2980.48,671.8469,2025-12-31 21:29:59.999,2001452.52051400,16473,314.51750000,936911.09338800,0
2025-12-31 21:30:00,2980.48,2984.86,2979.61,2982.84,1220.402,2025-12-31 21:44:59.999,3639699.65749300,16358,684.86330000,2042330.91743200,0
2025-12-31 21:45:00,2982.84,2983.98,2980.41,2982.25,729.8532,2025-12-31 21:59:59.999,2176575.69508800,14327,332.59950000,991853.53028900,0
2025-12-31 22:00:00,2982.25,2982.25,2979.09,2981.24,855.7123,2025-12-31 22:14:59.999,2549998.46010200,10077,276.93230000,825267.23005200,0
2025-12-31 22:15:00,2981.25,2984.24,2979.63,2983.71,952.2939,2025-12-31 22:29:59.999,2839627.71332000,11922,551.99600000,1646058.99140000,0
2025-12-31 22:30:00,2983.71,2983.72,2976.14,2976.39,1004.4583,2025-12-31 22:44:59.999,2993218.02048900,11905,460.77880000,1372942.26325900,0
2025-12-31 22:45:00,2976.39,2978.12,2974.42,2977.14,1240.4806,2025-12-31 22:59:59.999,3692165.25811000,13305,709.08800000,2110395.10560500,0
2025-12-31 23:00:00,2977.14,2977.14,2973.01,2974.34,1143.478,2025-12-31 23:14:59.999,3401792.57647700,19324,570.75980000,1697905.11924300,0
2025-12-31 23:15:00,2974.34,2976.59,2973.52,2975.64,1022.6353,2025-12-31 23:29:59.999,3042139.91793700,10893,738.29040000,2196218.76382300,0
2025-12-31 23:30:00,2975.63,2975.64,2971.49,2973.31,953.6271,2025-12-31 23:44:59.999,2835679.06441300,9242,498.54700000,1482536.84732100,0
2025-12-31 23:45:00,2973.32,2974.0,2970.19,2971.64,1096.1105,2025-12-31 23:59:59.999,3257604.10728500,11023,592.08380000,1759661.17446700,0
2026-01-01 00:00:00,2971.65,2980.59,2971.15,2976.22,2799.8913,2026-01-01 00:14:59.999,8335380.72794700,24496,2067.01630000,6153685.39867100,0
2026-01-01 00:15:00,2976.22,2980.31,2976.22,2979.75,449.4384,2026-01-01 00:29:59.999,1338702.45084900,10366,252.51090000,752077.74219600,0
2026-01-01 00:30:00,2979.74,2980.6,2978.42,2979.63,587.7843,2026-01-01 00:44:59.999,1751390.37792400,10323,309.05970000,920851.31951300,0
2026-01-01 00:45:00,2979.64,2982.83,2979.11,2979.81,648.135,2026-01-01 00:59:59.999,1932062.62174600,12882,368.07200000,1097140.91029700,0
2026-01-01 01:00:00,2979.81,2986.83,2979.8,2986.07,1235.3958,2026-01-01 01:14:59.999,3686599.74205500,20254,842.83130000,2515036.77091000,0
2026-01-01 01:15:00,2986.07,2988.96,2982.42,2982.43,1354.8989,2026-01-01 01:29:59.999,4045329.42668000,19437,811.38760000,2422783.23858200,0
2026-01-01 01:30:00,2982.42,2986.45,2979.18,2986.44,1627.454,2026-01-01 01:44:59.999,4852907.79522000,21920,849.73550000,2533949.89412200,0
2026-01-01 01:45:00,2986.45,2988.0,2984.2,2984.32,1349.3636,2026-01-01 01:59:59.999,4029357.13483300,12657,557.75860000,1665416.19052100,0
2026-01-01 02:00:00,2984.33,2987.0,2983.33,2985.46,575.5575,2026-01-01 02:14:59.999,1718062.70454800,11139,271.12350000,809311.77677900,0
2026-01-01 02:15:00,2985.45,2987.82,2982.93,2984.43,714.1262,2026-01-01 02:29:59.999,2132013.14631800,12275,276.93480000,826927.98632300,0
2026-01-01 02:30:00,2984.43,2986.57,2982.22,2982.79,596.2448,2026-01-01 02:44:59.999,1779382.09355600,14457,240.35130000,717251.77642100,0
2026-01-01 02:45:00,2982.79,2983.62,2980.9,2982.49,546.8199,2026-01-01 02:59:59.999,1630772.11572300,9188,328.15880000,978571.93373800,0
2026-01-01 03:00:00,2982.5,2984.39,2981.62,2984.39,468.771,2026-01-01 03:14:59.999,1398278.52741200,8769,287.71340000,858190.55228500,0
2026-01-01 03:15:00,2984.39,2986.18,2982.54,2983.32,580.9699,2026-01-01 03:29:59.999,1733683.98005500,8943,352.61020000,1052175.25691900,0
2026-01-01 03:30:00,2983.31,2983.9,2982.01,2983.0,273.5019,2026-01-01 03:44:59.999,815833.79761000,6083,142.97270000,426435.74025900,0
2026-01-01 03:45:00,2983.0,2983.0,2979.53,2980.0,469.3512,2026-01-01 03:59:59.999,1399196.91043900,5095,228.23410000,680347.21396300,0
2026-01-01 04:00:00,2979.99,2980.97,2976.01,2976.76,643.9541,2026-01-01 04:14:59.999,1917970.69677500,11545,286.88150000,854480.13274400,0
2026-01-01 04:15:00,2976.76,2978.28,2974.49,2977.86,957.1238,2026-01-01 04:29:59.999,2848368.40369000,14639,453.70420000,1350287.48110300,0
2026-01-01 04:30:00,2977.87,2979.69,2972.99,2973.54,6974.4759,2026-01-01 04:44:59.999,20751926.24815900,15417,4645.58440000,13819731.84512000,0
2026-01-01 04:45:00,2973.54,2976.97,2973.3,2975.35,1082.1735,2026-01-01 04:59:59.999,3219861.15911100,13844,426.69260000,1269453.00633300,0
2026-01-01 05:00:00,2975.36,2980.85,2975.36,2979.61,597.9039,2026-01-01 05:14:59.999,1781209.68651500,12452,219.76160000,654592.01175100,0
2026-01-01 05:15:00,2979.62,2982.15,2979.49,2982.15,733.1221,2026-01-01 05:29:59.999,2185220.07614200,8673,176.45140000,525929.99081800,0
