timestamp,open,high,low,close,vwap,volume,count
2026-01-21 00:05:00,2942.47,2943.59,2942.46,2943.59,2942.85,10.45392563,13
2026-01-21 00:06:00,2943.41,2943.43,2937.8,2937.93,2939.96,147.03217965,105
2026-01-21 00:07:00,2937.93,2939.7,2937.57,2938.89,2939.12,264.41113427,179
2026-01-21 00:08:00,2939.45,2939.45,2935.94,2935.94,2937.8,150.04392855,109
2026-01-21 00:09:00,2936.2,2936.2,2935.69,2936.19,2935.97,218.5362476,104
2026-01-21 00:10:00,2936.18,2936.19,2933.59,2933.83,2935.81,131.57700208,60
2026-01-21 00:11:00,2934.48,2934.48,2933.21,2933.41,2933.45,68.90950083,70
2026-01-21 00:12:00,2933.41,2934.76,2933.41,2934.76,2933.91,38.31191487,31
2026-01-21 00:13:00,2934.5,2934.59,2932.17,2932.17,2933.4,58.73155309,49
2026-01-21 00:14:00,2932.2,2932.83,2930.12,2931.77,2932.01,82.35005354,73
2026-01-21 00:15:00,2931.78,2933.12,2931.31,2932.66,2932.4,61.99292842,55
2026-01-21 00:16:00,2932.76,2932.76,2930.0,2930.01,2930.45,20.60845437,38
2026-01-21 00:17:00,2930.0,2930.0,2921.84,2925.36,2924.32,185.64173484,119
2026-01-21 00:18:00,2924.97,2932.5,2924.97,2929.2,2927.84,51.94757135,80
2026-01-21 00:19:00,2929.97,2930.44,2926.85,2926.85,2928.14,19.92481966,47
2026-01-21 00:20:00,2926.66,2926.67,2919.01,2919.01,2922.17,65.33650998,92
2026-01-21 00:21:00,2919.02,2925.41,2919.02,2925.41,2921.64,61.82511332,52
2026-01-21 00:22:00,2924.47,2924.47,2922.31,2922.96,2923.02,71.25050057,42
2026-01-21 00:23:00,2922.45,2923.2,2921.21,2921.45,2922.38,181.65997875,38
2026-01-21 00:24:00,2922.31,2925.29,2922.27,2924.71,2923.81,102.54553472,70
2026-01-21 00:25:00,2925.2,2926.42,2923.35,2923.76,2924.93,226.60479881,138
2026-01-21 00:26:00,2923.7,2924.2,2923.61,2924.09,2924.02,73.02439522,45
2026-01-21 00:27:00,2924.09,2933.11,2924.05,2933.11,2928.25,65.48264139,72
2026-01-21 00:28:00,2933.1,2934.26,2932.51,2934.25,2933.98,44.58230651,38
2026-01-21 00:29:00,2934.25,2936.07,2933.81,2934.27,2934.55,39.5842321,48
2026-01-21 00:30:00,2934.27,2934.27,2932.23,2932.82,2933.06,28.10218355,40
2026-01-21 00:31:00,2932.83,2934.09,2932.71,2932.95,2933.49,79.56266754,50
2026-01-21 00:32:00,2932.96,2934.39,2932.83,2934.29,2933.39,141.40889234,62
2026-01-21 00:33:00,2934.27,2934.29,2932.46,2932.88,2933.8,22.64152518,32
2026-01-21 00:34:00,2932.27,2932.27,2931.03,2931.94,2931.6,40.27365419,39
2026-01-21 00:35:00,2931.95,2940.95,2931.95,2940.95,2935.99,124.84464601,54
2026-01-21 00:36:00,2940.93,2943.73,2939.79,2943.73,2941.47,30.4050442,43
2026-01-21 00:37:00,2943.94,2946.38,2943.32,2946.14,2944.46,59.40053496,42
2026-01-21 00:38:00,2946.26,2950.74,2945.04,2949.42,2949.75,164.07238783,75
